"Kod";"Nazwa";"Rodzaje gmin";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0219000;"Powiat świdnicki";"gmina miejska razem";"2021";2;"-";"";
0219000;"Powiat świdnicki";"gmina miejsko-wiejska";"2021";3;"-";"";
0219000;"Powiat świdnicki";"gmina wiejska";"2021";3;"-";"";
0220000;"Powiat trzebnicki";"gmina miejska razem";"2021";0;"-";"";
0220000;"Powiat trzebnicki";"gmina miejsko-wiejska";"2021";4;"-";"";
0220000;"Powiat trzebnicki";"gmina wiejska";"2021";2;"-";"";
0221000;"Powiat wałbrzyski";"gmina miejska razem";"2021";3;"-";"";
0221000;"Powiat wałbrzyski";"gmina miejsko-wiejska";"2021";2;"-";"";
0221000;"Powiat wałbrzyski";"gmina wiejska";"2021";3;"-";"";
0222000;"Powiat wołowski";"gmina miejska razem";"2021";0;"-";"";
0222000;"Powiat wołowski";"gmina miejsko-wiejska";"2021";2;"-";"";
0222000;"Powiat wołowski";"gmina wiejska";"2021";1;"-";"";
0223000;"Powiat wrocławski";"gmina miejska razem";"2021";0;"-";"";
0223000;"Powiat wrocławski";"gmina miejsko-wiejska";"2021";3;"-";"";
0223000;"Powiat wrocławski";"gmina wiejska";"2021";6;"-";"";
0224000;"Powiat ząbkowicki";"gmina miejska razem";"2021";0;"-";"";
0224000;"Powiat ząbkowicki";"gmina miejsko-wiejska";"2021";5;"-";"";
0224000;"Powiat ząbkowicki";"gmina wiejska";"2021";2;"-";"";
0225000;"Powiat zgorzelecki";"gmina miejska razem";"2021";2;"-";"";
0225000;"Powiat zgorzelecki";"gmina miejsko-wiejska";"2021";3;"-";"";
0225000;"Powiat zgorzelecki";"gmina wiejska";"2021";2;"-";"";
0226000;"Powiat złotoryjski";"gmina miejska razem";"2021";2;"-";"";
0226000;"Powiat złotoryjski";"gmina miejsko-wiejska";"2021";1;"-";"";
0226000;"Powiat złotoryjski";"gmina wiejska";"2021";3;"-";"";
0261000;"Powiat m.Jelenia Góra";"gmina miejska razem";"2021";1;"-";"";
0261000;"Powiat m.Jelenia Góra";"gmina miejsko-wiejska";"2021";0;"-";"";
0261000;"Powiat m.Jelenia Góra";"gmina wiejska";"2021";0;"-";"";
0262000;"Powiat m.Legnica";"gmina miejska razem";"2021";1;"-";"";
0262000;"Powiat m.Legnica";"gmina miejsko-wiejska";"2021";0;"-";"";
0262000;"Powiat m.Legnica";"gmina wiejska";"2021";0;"-";"";
0264000;"Powiat m.Wrocław";"gmina miejska razem";"2021";1;"-";"";
0264000;"Powiat m.Wrocław";"gmina miejsko-wiejska";"2021";0;"-";"";
0264000;"Powiat m.Wrocław";"gmina wiejska";"2021";0;"-";"";
0265000;"Powiat m.Wałbrzych od 2013";"gmina miejska razem";"2021";1;"-";"";
0265000;"Powiat m.Wałbrzych od 2013";"gmina miejsko-wiejska";"2021";0;"-";"";
0265000;"Powiat m.Wałbrzych od 2013";"gmina wiejska";"2021";0;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina miejska razem";"2021";17;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina miejsko-wiejska";"2021";35;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina wiejska";"2021";92;"-";"";
0401000;"Powiat aleksandrowski";"gmina miejska razem";"2021";3;"-";"";
0401000;"Powiat aleksandrowski";"gmina miejsko-wiejska";"2021";0;"-";"";
0401000;"Powiat aleksandrowski";"gmina wiejska";"2021";6;"-";"";
0402000;"Powiat brodnicki";"gmina miejska razem";"2021";1;"-";"";
0402000;"Powiat brodnicki";"gmina miejsko-wiejska";"2021";2;"-";"";
0402000;"Powiat brodnicki";"gmina wiejska";"2021";7;"-";"";
0403000;"Powiat bydgoski";"gmina miejska razem";"2021";0;"-";"";
0403000;"Powiat bydgoski";"gmina miejsko-wiejska";"2021";2;"-";"";
0403000;"Powiat bydgoski";"gmina wiejska";"2021";6;"-";"";
0404000;"Powiat chełmiński";"gmina miejska razem";"2021";1;"-";"";
0404000;"Powiat chełmiński";"gmina miejsko-wiejska";"2021";0;"-";"";
0404000;"Powiat chełmiński";"gmina wiejska";"2021";6;"-";"";
0405000;"Powiat golubsko-dobrzyński";"gmina miejska razem";"2021";1;"-";"";
0405000;"Powiat golubsko-dobrzyński";"gmina miejsko-wiejska";"2021";1;"-";"";
0405000;"Powiat golubsko-dobrzyński";"gmina wiejska";"2021";4;"-";"";
0406000;"Powiat grudziądzki";"gmina miejska razem";"2021";0;"-";"";
0406000;"Powiat grudziądzki";"gmina miejsko-wiejska";"2021";2;"-";"";
0406000;"Powiat grudziądzki";"gmina wiejska";"2021";4;"-";"";
0407000;"Powiat inowrocławski";"gmina miejska razem";"2021";1;"-";"";
0407000;"Powiat inowrocławski";"gmina miejsko-wiejska";"2021";4;"-";"";
0407000;"Powiat inowrocławski";"gmina wiejska";"2021";4;"-";"";
0408000;"Powiat lipnowski";"gmina miejska razem";"2021";1;"-";"";
0408000;"Powiat lipnowski";"gmina miejsko-wiejska";"2021";2;"-";"";
0408000;"Powiat lipnowski";"gmina wiejska";"2021";6;"-";"";
0409000;"Powiat mogileński";"gmina miejska razem";"2021";0;"-";"";
0409000;"Powiat mogileński";"gmina miejsko-wiejska";"2021";2;"-";"";
0409000;"Powiat mogileński";"gmina wiejska";"2021";2;"-";"";
0410000;"Powiat nakielski";"gmina miejska razem";"2021";0;"-";"";
0410000;"Powiat nakielski";"gmina miejsko-wiejska";"2021";4;"-";"";
0410000;"Powiat nakielski";"gmina wiejska";"2021";1;"-";"";
0411000;"Powiat radziejowski";"gmina miejska razem";"2021";1;"-";"";
0411000;"Powiat radziejowski";"gmina miejsko-wiejska";"2021";1;"-";"";
0411000;"Powiat radziejowski";"gmina wiejska";"2021";5;"-";"";
0412000;"Powiat rypiński";"gmina miejska razem";"2021";1;"-";"";
0412000;"Powiat rypiński";"gmina miejsko-wiejska";"2021";0;"-";"";
0412000;"Powiat rypiński";"gmina wiejska";"2021";5;"-";"";
0413000;"Powiat sępoleński";"gmina miejska razem";"2021";0;"-";"";
0413000;"Powiat sępoleński";"gmina miejsko-wiejska";"2021";3;"-";"";
0413000;"Powiat sępoleński";"gmina wiejska";"2021";1;"-";"";
0414000;"Powiat świecki";"gmina miejska razem";"2021";0;"-";"";
0414000;"Powiat świecki";"gmina miejsko-wiejska";"2021";2;"-";"";
0414000;"Powiat świecki";"gmina wiejska";"2021";9;"-";"";
0415000;"Powiat toruński";"gmina miejska razem";"2021";1;"-";"";
0415000;"Powiat toruński";"gmina miejsko-wiejska";"2021";0;"-";"";
0415000;"Powiat toruński";"gmina wiejska";"2021";8;"-";"";
0416000;"Powiat tucholski";"gmina miejska razem";"2021";0;"-";"";
0416000;"Powiat tucholski";"gmina miejsko-wiejska";"2021";1;"-";"";
0416000;"Powiat tucholski";"gmina wiejska";"2021";5;"-";"";
0417000;"Powiat wąbrzeski";"gmina miejska razem";"2021";1;"-";"";
0417000;"Powiat wąbrzeski";"gmina miejsko-wiejska";"2021";0;"-";"";
0417000;"Powiat wąbrzeski";"gmina wiejska";"2021";4;"-";"";
0418000;"Powiat włocławski";"gmina miejska razem";"2021";1;"-";"";
0418000;"Powiat włocławski";"gmina miejsko-wiejska";"2021";5;"-";"";
0418000;"Powiat włocławski";"gmina wiejska";"2021";7;"-";"";
0419000;"Powiat żniński";"gmina miejska razem";"2021";0;"-";"";
0419000;"Powiat żniński";"gmina miejsko-wiejska";"2021";4;"-";"";
0419000;"Powiat żniński";"gmina wiejska";"2021";2;"-";"";
0461000;"Powiat m.Bydgoszcz";"gmina miejska razem";"2021";1;"-";"";
0461000;"Powiat m.Bydgoszcz";"gmina miejsko-wiejska";"2021";0;"-";"";
0461000;"Powiat m.Bydgoszcz";"gmina wiejska";"2021";0;"-";"";
0462000;"Powiat m.Grudziądz";"gmina miejska razem";"2021";1;"-";"";
0462000;"Powiat m.Grudziądz";"gmina miejsko-wiejska";"2021";0;"-";"";
0462000;"Powiat m.Grudziądz";"gmina wiejska";"2021";0;"-";"";
0463000;"Powiat m.Toruń";"gmina miejska razem";"2021";1;"-";"";
0463000;"Powiat m.Toruń";"gmina miejsko-wiejska";"2021";0;"-";"";
0463000;"Powiat m.Toruń";"gmina wiejska";"2021";0;"-";"";
0464000;"Powiat m.Włocławek";"gmina miejska razem";"2021";1;"-";"";
0464000;"Powiat m.Włocławek";"gmina miejsko-wiejska";"2021";0;"-";"";
0464000;"Powiat m.Włocławek";"gmina wiejska";"2021";0;"-";"";
0600000;"LUBELSKIE";"gmina miejska razem";"2021";20;"-";"";
0600000;"LUBELSKIE";"gmina miejsko-wiejska";"2021";30;"-";"";
0600000;"LUBELSKIE";"gmina wiejska";"2021";163;"-";"";
0601000;"Powiat bialski";"gmina miejska razem";"2021";2;"-";"";
0601000;"Powiat bialski";"gmina miejsko-wiejska";"2021";0;"-";"";
0601000;"Powiat bialski";"gmina wiejska";"2021";17;"-";"";
0602000;"Powiat biłgorajski";"gmina miejska razem";"2021";1;"-";"";
0602000;"Powiat biłgorajski";"gmina miejsko-wiejska";"2021";4;"-";"";
0602000;"Powiat biłgorajski";"gmina wiejska";"2021";9;"-";"";
0603000;"Powiat chełmski";"gmina miejska razem";"2021";1;"-";"";
0603000;"Powiat chełmski";"gmina miejsko-wiejska";"2021";2;"-";"";
0603000;"Powiat chełmski";"gmina wiejska";"2021";12;"-";"";
0604000;"Powiat hrubieszowski";"gmina miejska razem";"2021";1;"-";"";
0604000;"Powiat hrubieszowski";"gmina miejsko-wiejska";"2021";0;"-";"";
0604000;"Powiat hrubieszowski";"gmina wiejska";"2021";7;"-";"";
0605000;"Powiat janowski";"gmina miejska razem";"2021";0;"-";"";
0605000;"Powiat janowski";"gmina miejsko-wiejska";"2021";2;"-";"";
0605000;"Powiat janowski";"gmina wiejska";"2021";5;"-";"";
0606000;"Powiat krasnostawski";"gmina miejska razem";"2021";1;"-";"";
0606000;"Powiat krasnostawski";"gmina miejsko-wiejska";"2021";0;"-";"";
0606000;"Powiat krasnostawski";"gmina wiejska";"2021";9;"-";"";
0607000;"Powiat kraśnicki";"gmina miejska razem";"2021";1;"-";"";
0607000;"Powiat kraśnicki";"gmina miejsko-wiejska";"2021";2;"-";"";
0607000;"Powiat kraśnicki";"gmina wiejska";"2021";7;"-";"";
0608000;"Powiat lubartowski";"gmina miejska razem";"2021";1;"-";"";
0608000;"Powiat lubartowski";"gmina miejsko-wiejska";"2021";3;"-";"";
0608000;"Powiat lubartowski";"gmina wiejska";"2021";9;"-";"";
0609000;"Powiat lubelski";"gmina miejska razem";"2021";0;"-";"";
0609000;"Powiat lubelski";"gmina miejsko-wiejska";"2021";2;"-";"";
0609000;"Powiat lubelski";"gmina wiejska";"2021";14;"-";"";
0610000;"Powiat łęczyński";"gmina miejska razem";"2021";0;"-";"";
0610000;"Powiat łęczyński";"gmina miejsko-wiejska";"2021";1;"-";"";
0610000;"Powiat łęczyński";"gmina wiejska";"2021";5;"-";"";
0611000;"Powiat łukowski";"gmina miejska razem";"2021";2;"-";"";
0611000;"Powiat łukowski";"gmina miejsko-wiejska";"2021";0;"-";"";
0611000;"Powiat łukowski";"gmina wiejska";"2021";9;"-";"";
0612000;"Powiat opolski";"gmina miejska razem";"2021";0;"-";"";
0612000;"Powiat opolski";"gmina miejsko-wiejska";"2021";3;"-";"";
0612000;"Powiat opolski";"gmina wiejska";"2021";4;"-";"";
0613000;"Powiat parczewski";"gmina miejska razem";"2021";0;"-";"";
0613000;"Powiat parczewski";"gmina miejsko-wiejska";"2021";1;"-";"";
0613000;"Powiat parczewski";"gmina wiejska";"2021";6;"-";"";
0614000;"Powiat puławski";"gmina miejska razem";"2021";1;"-";"";
0614000;"Powiat puławski";"gmina miejsko-wiejska";"2021";2;"-";"";
0614000;"Powiat puławski";"gmina wiejska";"2021";8;"-";"";
0615000;"Powiat radzyński";"gmina miejska razem";"2021";1;"-";"";
0615000;"Powiat radzyński";"gmina miejsko-wiejska";"2021";0;"-";"";
0615000;"Powiat radzyński";"gmina wiejska";"2021";7;"-";"";
0616000;"Powiat rycki";"gmina miejska razem";"2021";1;"-";"";
0616000;"Powiat rycki";"gmina miejsko-wiejska";"2021";1;"-";"";
0616000;"Powiat rycki";"gmina wiejska";"2021";4;"-";"";
0617000;"Powiat świdnicki";"gmina miejska razem";"2021";1;"-";"";
0617000;"Powiat świdnicki";"gmina miejsko-wiejska";"2021";1;"-";"";
0617000;"Powiat świdnicki";"gmina wiejska";"2021";3;"-";"";
0618000;"Powiat tomaszowski";"gmina miejska razem";"2021";1;"-";"";
0618000;"Powiat tomaszowski";"gmina miejsko-wiejska";"2021";3;"-";"";
0618000;"Powiat tomaszowski";"gmina wiejska";"2021";9;"-";"";
0619000;"Powiat włodawski";"gmina miejska razem";"2021";1;"-";"";
0619000;"Powiat włodawski";"gmina miejsko-wiejska";"2021";0;"-";"";
0619000;"Powiat włodawski";"gmina wiejska";"2021";7;"-";"";
0620000;"Powiat zamojski";"gmina miejska razem";"2021";0;"-";"";
0620000;"Powiat zamojski";"gmina miejsko-wiejska";"2021";3;"-";"";
0620000;"Powiat zamojski";"gmina wiejska";"2021";12;"-";"";
0661000;"Powiat m.Biała Podlaska";"gmina miejska razem";"2021";1;"-";"";
0661000;"Powiat m.Biała Podlaska";"gmina miejsko-wiejska";"2021";0;"-";"";
0661000;"Powiat m.Biała Podlaska";"gmina wiejska";"2021";0;"-";"";
0662000;"Powiat m.Chełm";"gmina miejska razem";"2021";1;"-";"";
0662000;"Powiat m.Chełm";"gmina miejsko-wiejska";"2021";0;"-";"";
0662000;"Powiat m.Chełm";"gmina wiejska";"2021";0;"-";"";
0663000;"Powiat m.Lublin";"gmina miejska razem";"2021";1;"-";"";
0663000;"Powiat m.Lublin";"gmina miejsko-wiejska";"2021";0;"-";"";
0663000;"Powiat m.Lublin";"gmina wiejska";"2021";0;"-";"";
0664000;"Powiat m.Zamość";"gmina miejska razem";"2021";1;"-";"";
0664000;"Powiat m.Zamość";"gmina miejsko-wiejska";"2021";0;"-";"";
0664000;"Powiat m.Zamość";"gmina wiejska";"2021";0;"-";"";
0800000;"LUBUSKIE";"gmina miejska razem";"2021";9;"-";"";
0800000;"LUBUSKIE";"gmina miejsko-wiejska";"2021";34;"-";"";
0800000;"LUBUSKIE";"gmina wiejska";"2021";39;"-";"";
0801000;"Powiat gorzowski";"gmina miejska razem";"2021";1;"-";"";
0801000;"Powiat gorzowski";"gmina miejsko-wiejska";"2021";1;"-";"";
0801000;"Powiat gorzowski";"gmina wiejska";"2021";5;"-";"";
0802000;"Powiat krośnieński";"gmina miejska razem";"2021";1;"-";"";
0802000;"Powiat krośnieński";"gmina miejsko-wiejska";"2021";1;"-";"";
0802000;"Powiat krośnieński";"gmina wiejska";"2021";5;"-";"";
0803000;"Powiat międzyrzecki";"gmina miejska razem";"2021";0;"-";"";
0803000;"Powiat międzyrzecki";"gmina miejsko-wiejska";"2021";3;"-";"";
0803000;"Powiat międzyrzecki";"gmina wiejska";"2021";3;"-";"";
0804000;"Powiat nowosolski";"gmina miejska razem";"2021";1;"-";"";
0804000;"Powiat nowosolski";"gmina miejsko-wiejska";"2021";4;"-";"";
0804000;"Powiat nowosolski";"gmina wiejska";"2021";3;"-";"";
0805000;"Powiat słubicki";"gmina miejska razem";"2021";0;"-";"";
0805000;"Powiat słubicki";"gmina miejsko-wiejska";"2021";4;"-";"";
0805000;"Powiat słubicki";"gmina wiejska";"2021";1;"-";"";
0806000;"Powiat strzelecko-drezdenecki";"gmina miejska razem";"2021";0;"-";"";
0806000;"Powiat strzelecko-drezdenecki";"gmina miejsko-wiejska";"2021";3;"-";"";
0806000;"Powiat strzelecko-drezdenecki";"gmina wiejska";"2021";2;"-";"";
0807000;"Powiat sulęciński";"gmina miejska razem";"2021";0;"-";"";
0807000;"Powiat sulęciński";"gmina miejsko-wiejska";"2021";3;"-";"";
0807000;"Powiat sulęciński";"gmina wiejska";"2021";2;"-";"";
0808000;"Powiat świebodziński";"gmina miejska razem";"2021";0;"-";"";
0808000;"Powiat świebodziński";"gmina miejsko-wiejska";"2021";2;"-";"";
0808000;"Powiat świebodziński";"gmina wiejska";"2021";4;"-";"";
0809000;"Powiat zielonogórski";"gmina miejska razem";"2021";0;"-";"";
0809000;"Powiat zielonogórski";"gmina miejsko-wiejska";"2021";5;"-";"";
0809000;"Powiat zielonogórski";"gmina wiejska";"2021";4;"-";"";
0810000;"Powiat żagański";"gmina miejska razem";"2021";2;"-";"";
0810000;"Powiat żagański";"gmina miejsko-wiejska";"2021";3;"-";"";
0810000;"Powiat żagański";"gmina wiejska";"2021";4;"-";"";
0811000;"Powiat żarski";"gmina miejska razem";"2021";2;"-";"";
0811000;"Powiat żarski";"gmina miejsko-wiejska";"2021";2;"-";"";
0811000;"Powiat żarski";"gmina wiejska";"2021";6;"-";"";
0812000;"Powiat wschowski";"gmina miejska razem";"2021";0;"-";"";
0812000;"Powiat wschowski";"gmina miejsko-wiejska";"2021";3;"-";"";
0812000;"Powiat wschowski";"gmina wiejska";"2021";0;"-";"";
0861000;"Powiat m.Gorzów Wielkopolski";"gmina miejska razem";"2021";1;"-";"";
0861000;"Powiat m.Gorzów Wielkopolski";"gmina miejsko-wiejska";"2021";0;"-";"";
0861000;"Powiat m.Gorzów Wielkopolski";"gmina wiejska";"2021";0;"-";"";
0862000;"Powiat m.Zielona Góra";"gmina miejska razem";"2021";1;"-";"";
0862000;"Powiat m.Zielona Góra";"gmina miejsko-wiejska";"2021";0;"-";"";
0862000;"Powiat m.Zielona Góra";"gmina wiejska";"2021";0;"-";"";
1000000;"ŁÓDZKIE";"gmina miejska razem";"2021";18;"-";"";
1000000;"ŁÓDZKIE";"gmina miejsko-wiejska";"2021";28;"-";"";
1000000;"ŁÓDZKIE";"gmina wiejska";"2021";131;"-";"";
1001000;"Powiat bełchatowski";"gmina miejska razem";"2021";1;"-";"";
1001000;"Powiat bełchatowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1001000;"Powiat bełchatowski";"gmina wiejska";"2021";6;"-";"";
1002000;"Powiat kutnowski";"gmina miejska razem";"2021";1;"-";"";
1002000;"Powiat kutnowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1002000;"Powiat kutnowski";"gmina wiejska";"2021";8;"-";"";
1003000;"Powiat łaski";"gmina miejska razem";"2021";0;"-";"";
1003000;"Powiat łaski";"gmina miejsko-wiejska";"2021";1;"-";"";
1003000;"Powiat łaski";"gmina wiejska";"2021";4;"-";"";
1004000;"Powiat łęczycki";"gmina miejska razem";"2021";1;"-";"";
1004000;"Powiat łęczycki";"gmina miejsko-wiejska";"2021";1;"-";"";
1004000;"Powiat łęczycki";"gmina wiejska";"2021";6;"-";"";
1005000;"Powiat łowicki";"gmina miejska razem";"2021";1;"-";"";
1005000;"Powiat łowicki";"gmina miejsko-wiejska";"2021";0;"-";"";
1005000;"Powiat łowicki";"gmina wiejska";"2021";9;"-";"";
1006000;"Powiat łódzki wschodni";"gmina miejska razem";"2021";0;"-";"";
1006000;"Powiat łódzki wschodni";"gmina miejsko-wiejska";"2021";3;"-";"";
1006000;"Powiat łódzki wschodni";"gmina wiejska";"2021";3;"-";"";
1007000;"Powiat opoczyński";"gmina miejska razem";"2021";0;"-";"";
1007000;"Powiat opoczyński";"gmina miejsko-wiejska";"2021";2;"-";"";
1007000;"Powiat opoczyński";"gmina wiejska";"2021";6;"-";"";
1008000;"Powiat pabianicki";"gmina miejska razem";"2021";2;"-";"";
1008000;"Powiat pabianicki";"gmina miejsko-wiejska";"2021";0;"-";"";
1008000;"Powiat pabianicki";"gmina wiejska";"2021";5;"-";"";
1009000;"Powiat pajęczański";"gmina miejska razem";"2021";0;"-";"";
1009000;"Powiat pajęczański";"gmina miejsko-wiejska";"2021";2;"-";"";
1009000;"Powiat pajęczański";"gmina wiejska";"2021";6;"-";"";
1010000;"Powiat piotrkowski";"gmina miejska razem";"2021";0;"-";"";
1010000;"Powiat piotrkowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1010000;"Powiat piotrkowski";"gmina wiejska";"2021";9;"-";"";
1011000;"Powiat poddębicki";"gmina miejska razem";"2021";0;"-";"";
1011000;"Powiat poddębicki";"gmina miejsko-wiejska";"2021";2;"-";"";
1011000;"Powiat poddębicki";"gmina wiejska";"2021";4;"-";"";
1012000;"Powiat radomszczański";"gmina miejska razem";"2021";1;"-";"";
1012000;"Powiat radomszczański";"gmina miejsko-wiejska";"2021";2;"-";"";
1012000;"Powiat radomszczański";"gmina wiejska";"2021";11;"-";"";
1013000;"Powiat rawski";"gmina miejska razem";"2021";1;"-";"";
1013000;"Powiat rawski";"gmina miejsko-wiejska";"2021";1;"-";"";
1013000;"Powiat rawski";"gmina wiejska";"2021";4;"-";"";
1014000;"Powiat sieradzki";"gmina miejska razem";"2021";1;"-";"";
1014000;"Powiat sieradzki";"gmina miejsko-wiejska";"2021";3;"-";"";
1014000;"Powiat sieradzki";"gmina wiejska";"2021";7;"-";"";
1015000;"Powiat skierniewicki";"gmina miejska razem";"2021";0;"-";"";
1015000;"Powiat skierniewicki";"gmina miejsko-wiejska";"2021";0;"-";"";
1015000;"Powiat skierniewicki";"gmina wiejska";"2021";9;"-";"";
1016000;"Powiat tomaszowski";"gmina miejska razem";"2021";1;"-";"";
1016000;"Powiat tomaszowski";"gmina miejsko-wiejska";"2021";0;"-";"";
1016000;"Powiat tomaszowski";"gmina wiejska";"2021";10;"-";"";
1017000;"Powiat wieluński";"gmina miejska razem";"2021";0;"-";"";
1017000;"Powiat wieluński";"gmina miejsko-wiejska";"2021";1;"-";"";
1017000;"Powiat wieluński";"gmina wiejska";"2021";9;"-";"";
1018000;"Powiat wieruszowski";"gmina miejska razem";"2021";0;"-";"";
1018000;"Powiat wieruszowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1018000;"Powiat wieruszowski";"gmina wiejska";"2021";5;"-";"";
1019000;"Powiat zduńskowolski";"gmina miejska razem";"2021";1;"-";"";
1019000;"Powiat zduńskowolski";"gmina miejsko-wiejska";"2021";1;"-";"";
1019000;"Powiat zduńskowolski";"gmina wiejska";"2021";2;"-";"";
1020000;"Powiat zgierski";"gmina miejska razem";"2021";3;"-";"";
1020000;"Powiat zgierski";"gmina miejsko-wiejska";"2021";2;"-";"";
1020000;"Powiat zgierski";"gmina wiejska";"2021";4;"-";"";
1021000;"Powiat brzeziński";"gmina miejska razem";"2021";1;"-";"";
1021000;"Powiat brzeziński";"gmina miejsko-wiejska";"2021";0;"-";"";
1021000;"Powiat brzeziński";"gmina wiejska";"2021";4;"-";"";
1061000;"Powiat m.Łódź";"gmina miejska razem";"2021";1;"-";"";
1061000;"Powiat m.Łódź";"gmina miejsko-wiejska";"2021";0;"-";"";
1061000;"Powiat m.Łódź";"gmina wiejska";"2021";0;"-";"";
1062000;"Powiat m.Piotrków Trybunalski";"gmina miejska razem";"2021";1;"-";"";
1062000;"Powiat m.Piotrków Trybunalski";"gmina miejsko-wiejska";"2021";0;"-";"";
1062000;"Powiat m.Piotrków Trybunalski";"gmina wiejska";"2021";0;"-";"";
