"Kod";"Nazwa";"Rodzaje gmin";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"gmina miejska razem";"2021";302;"-";"";
0000000;"POLSKA";"gmina miejsko-wiejska";"2021";652;"-";"";
0000000;"POLSKA";"gmina wiejska";"2021";1523;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina miejska razem";"2021";35;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina miejsko-wiejska";"2021";57;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina wiejska";"2021";77;"-";"";
0201000;"Powiat bolesławiecki";"gmina miejska razem";"2021";1;"-";"";
0201000;"Powiat bolesławiecki";"gmina miejsko-wiejska";"2021";1;"-";"";
0201000;"Powiat bolesławiecki";"gmina wiejska";"2021";4;"-";"";
0202000;"Powiat dzierżoniowski";"gmina miejska razem";"2021";3;"-";"";
0202000;"Powiat dzierżoniowski";"gmina miejsko-wiejska";"2021";2;"-";"";
0202000;"Powiat dzierżoniowski";"gmina wiejska";"2021";2;"-";"";
0203000;"Powiat głogowski";"gmina miejska razem";"2021";1;"-";"";
0203000;"Powiat głogowski";"gmina miejsko-wiejska";"2021";0;"-";"";
0203000;"Powiat głogowski";"gmina wiejska";"2021";5;"-";"";
0204000;"Powiat górowski";"gmina miejska razem";"2021";0;"-";"";
0204000;"Powiat górowski";"gmina miejsko-wiejska";"2021";2;"-";"";
0204000;"Powiat górowski";"gmina wiejska";"2021";2;"-";"";
0205000;"Powiat jaworski";"gmina miejska razem";"2021";1;"-";"";
0205000;"Powiat jaworski";"gmina miejsko-wiejska";"2021";1;"-";"";
0205000;"Powiat jaworski";"gmina wiejska";"2021";4;"-";"";
0206000;"Powiat karkonoski";"gmina miejska razem";"2021";4;"-";"";
0206000;"Powiat karkonoski";"gmina miejsko-wiejska";"2021";0;"-";"";
0206000;"Powiat karkonoski";"gmina wiejska";"2021";5;"-";"";
0207000;"Powiat kamiennogórski";"gmina miejska razem";"2021";1;"-";"";
0207000;"Powiat kamiennogórski";"gmina miejsko-wiejska";"2021";1;"-";"";
0207000;"Powiat kamiennogórski";"gmina wiejska";"2021";2;"-";"";
0208000;"Powiat kłodzki";"gmina miejska razem";"2021";5;"-";"";
0208000;"Powiat kłodzki";"gmina miejsko-wiejska";"2021";6;"-";"";
0208000;"Powiat kłodzki";"gmina wiejska";"2021";3;"-";"";
0209000;"Powiat legnicki";"gmina miejska razem";"2021";1;"-";"";
0209000;"Powiat legnicki";"gmina miejsko-wiejska";"2021";1;"-";"";
0209000;"Powiat legnicki";"gmina wiejska";"2021";6;"-";"";
0210000;"Powiat lubański";"gmina miejska razem";"2021";2;"-";"";
0210000;"Powiat lubański";"gmina miejsko-wiejska";"2021";2;"-";"";
0210000;"Powiat lubański";"gmina wiejska";"2021";3;"-";"";
0211000;"Powiat lubiński";"gmina miejska razem";"2021";1;"-";"";
0211000;"Powiat lubiński";"gmina miejsko-wiejska";"2021";1;"-";"";
0211000;"Powiat lubiński";"gmina wiejska";"2021";2;"-";"";
0212000;"Powiat lwówecki";"gmina miejska razem";"2021";0;"-";"";
0212000;"Powiat lwówecki";"gmina miejsko-wiejska";"2021";5;"-";"";
0212000;"Powiat lwówecki";"gmina wiejska";"2021";0;"-";"";
0213000;"Powiat milicki";"gmina miejska razem";"2021";0;"-";"";
0213000;"Powiat milicki";"gmina miejsko-wiejska";"2021";1;"-";"";
0213000;"Powiat milicki";"gmina wiejska";"2021";2;"-";"";
0214000;"Powiat oleśnicki";"gmina miejska razem";"2021";1;"-";"";
0214000;"Powiat oleśnicki";"gmina miejsko-wiejska";"2021";4;"-";"";
0214000;"Powiat oleśnicki";"gmina wiejska";"2021";3;"-";"";
0215000;"Powiat oławski";"gmina miejska razem";"2021";1;"-";"";
0215000;"Powiat oławski";"gmina miejsko-wiejska";"2021";1;"-";"";
0215000;"Powiat oławski";"gmina wiejska";"2021";2;"-";"";
0216000;"Powiat polkowicki";"gmina miejska razem";"2021";0;"-";"";
0216000;"Powiat polkowicki";"gmina miejsko-wiejska";"2021";3;"-";"";
0216000;"Powiat polkowicki";"gmina wiejska";"2021";3;"-";"";
0217000;"Powiat strzeliński";"gmina miejska razem";"2021";0;"-";"";
0217000;"Powiat strzeliński";"gmina miejsko-wiejska";"2021";2;"-";"";
0217000;"Powiat strzeliński";"gmina wiejska";"2021";3;"-";"";
0218000;"Powiat średzki";"gmina miejska razem";"2021";0;"-";"";
0218000;"Powiat średzki";"gmina miejsko-wiejska";"2021";1;"-";"";
0218000;"Powiat średzki";"gmina wiejska";"2021";4;"-";"";
