"Kod";"Nazwa";"RodzajeGmin";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"gmina miejska razem";"2021";302;"-";"";
0000000;"POLSKA";"gmina miejsko-wiejska";"2021";652;"-";"";
0000000;"POLSKA";"gmina wiejska";"2021";1523;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina miejska razem";"2021";35;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina miejsko-wiejska";"2021";57;"-";"";
0200000;"DOLNOŚLĄSKIE";"gmina wiejska";"2021";77;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina miejska razem";"2021";17;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina miejsko-wiejska";"2021";35;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"gmina wiejska";"2021";92;"-";"";
0600000;"LUBELSKIE";"gmina miejska razem";"2021";20;"-";"";
0600000;"LUBELSKIE";"gmina miejsko-wiejska";"2021";30;"-";"";
0600000;"LUBELSKIE";"gmina wiejska";"2021";163;"-";"";
0800000;"LUBUSKIE";"gmina miejska razem";"2021";9;"-";"";
0800000;"LUBUSKIE";"gmina miejsko-wiejska";"2021";34;"-";"";
0800000;"LUBUSKIE";"gmina wiejska";"2021";39;"-";"";
1000000;"ŁÓDZKIE";"gmina miejska razem";"2021";18;"-";"";
1000000;"ŁÓDZKIE";"gmina miejsko-wiejska";"2021";28;"-";"";
1000000;"ŁÓDZKIE";"gmina wiejska";"2021";131;"-";"";
1200000;"MAŁOPOLSKIE";"gmina miejska razem";"2021";14;"-";"";
1200000;"MAŁOPOLSKIE";"gmina miejsko-wiejska";"2021";48;"-";"";
1200000;"MAŁOPOLSKIE";"gmina wiejska";"2021";120;"-";"";
1400000;"MAZOWIECKIE";"gmina miejska razem";"2021";35;"-";"";
1400000;"MAZOWIECKIE";"gmina miejsko-wiejska";"2021";57;"-";"";
1400000;"MAZOWIECKIE";"gmina wiejska";"2021";222;"-";"";
1600000;"OPOLSKIE";"gmina miejska razem";"2021";3;"-";"";
1600000;"OPOLSKIE";"gmina miejsko-wiejska";"2021";33;"-";"";
1600000;"OPOLSKIE";"gmina wiejska";"2021";35;"-";"";
1800000;"PODKARPACKIE";"gmina miejska razem";"2021";16;"-";"";
1800000;"PODKARPACKIE";"gmina miejsko-wiejska";"2021";36;"-";"";
1800000;"PODKARPACKIE";"gmina wiejska";"2021";108;"-";"";
2000000;"PODLASKIE";"gmina miejska razem";"2021";13;"-";"";
2000000;"PODLASKIE";"gmina miejsko-wiejska";"2021";27;"-";"";
2000000;"PODLASKIE";"gmina wiejska";"2021";78;"-";"";
2200000;"POMORSKIE";"gmina miejska razem";"2021";22;"-";"";
2200000;"POMORSKIE";"gmina miejsko-wiejska";"2021";20;"-";"";
2200000;"POMORSKIE";"gmina wiejska";"2021";81;"-";"";
2400000;"ŚLĄSKIE";"gmina miejska razem";"2021";49;"-";"";
2400000;"ŚLĄSKIE";"gmina miejsko-wiejska";"2021";22;"-";"";
2400000;"ŚLĄSKIE";"gmina wiejska";"2021";96;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"gmina miejska razem";"2021";5;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"gmina miejsko-wiejska";"2021";40;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"gmina wiejska";"2021";57;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"gmina miejska razem";"2021";16;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"gmina miejsko-wiejska";"2021";34;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"gmina wiejska";"2021";66;"-";"";
3000000;"WIELKOPOLSKIE";"gmina miejska razem";"2021";19;"-";"";
3000000;"WIELKOPOLSKIE";"gmina miejsko-wiejska";"2021";96;"-";"";
3000000;"WIELKOPOLSKIE";"gmina wiejska";"2021";111;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"gmina miejska razem";"2021";11;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"gmina miejsko-wiejska";"2021";55;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"gmina wiejska";"2021";47;"-";"";
