frequency;unit;age;geo;year;value
A;NR;TOTAL;AT12;2016;1.59
A;NR;TOTAL;AT12;2017;1.57
A;NR;TOTAL;AT12;2018;1.52
A;NR;TOTAL;AT12;2019;1.50
A;NR;TOTAL;AT12;2020;1.49358
A;NR;TOTAL;AT13;2009;1.37
A;NR;TOTAL;AT13;2010;1.42
A;NR;TOTAL;AT13;2011;1.42
A;NR;TOTAL;AT13;2012;1.40
A;NR;TOTAL;AT13;2013;1.40
A;NR;TOTAL;AT13;2014;1.41
A;NR;TOTAL;AT13;2015;1.42
A;NR;TOTAL;AT13;2016;1.45
A;NR;TOTAL;AT13;2017;1.41
A;NR;TOTAL;AT13;2018;1.36
A;NR;TOTAL;AT13;2019;1.35
A;NR;TOTAL;AT13;2020;1.28735
A;NR;TOTAL;AT21;2009;1.37
A;NR;TOTAL;AT21;2010;1.43
A;NR;TOTAL;AT21;2011;1.40
A;NR;TOTAL;AT21;2012;1.41
A;NR;TOTAL;AT21;2013;1.41
A;NR;TOTAL;AT21;2014;1.43
A;NR;TOTAL;AT21;2015;1.43
A;NR;TOTAL;AT21;2016;1.50
A;NR;TOTAL;AT21;2017;1.51
A;NR;TOTAL;AT21;2018;1.44
A;NR;TOTAL;AT21;2019;1.40
A;NR;TOTAL;AT21;2020;1.43048
A;NR;TOTAL;AT22;2009;1.32
A;NR;TOTAL;AT22;2010;1.36
A;NR;TOTAL;AT22;2011;1.33
A;NR;TOTAL;AT22;2012;1.36
A;NR;TOTAL;AT22;2013;1.35
A;NR;TOTAL;AT22;2014;1.36
A;NR;TOTAL;AT22;2015;1.44
A;NR;TOTAL;AT22;2016;1.44
A;NR;TOTAL;AT22;2017;1.46
A;NR;TOTAL;AT22;2018;1.42
A;NR;TOTAL;AT22;2019;1.41
A;NR;TOTAL;AT22;2020;1.41029
A;NR;TOTAL;AT31;2009;1.51
A;NR;TOTAL;AT31;2010;1.55
A;NR;TOTAL;AT31;2011;1.53
A;NR;TOTAL;AT31;2012;1.55
A;NR;TOTAL;AT31;2013;1.55
A;NR;TOTAL;AT31;2014;1.61
A;NR;TOTAL;AT31;2015;1.61
A;NR;TOTAL;AT31;2016;1.68
A;NR;TOTAL;AT31;2017;1.66
A;NR;TOTAL;AT31;2018;1.62
A;NR;TOTAL;AT31;2019;1.60
A;NR;TOTAL;AT31;2020;1.57005
A;NR;TOTAL;AT32;2009;1.39
A;NR;TOTAL;AT32;2010;1.47
A;NR;TOTAL;AT32;2011;1.46
A;NR;TOTAL;AT32;2012;1.46
A;NR;TOTAL;AT32;2013;1.48
A;NR;TOTAL;AT32;2014;1.55
A;NR;TOTAL;AT32;2015;1.54
A;NR;TOTAL;AT32;2016;1.57
A;NR;TOTAL;AT32;2017;1.61
A;NR;TOTAL;AT32;2018;1.54
A;NR;TOTAL;AT32;2019;1.58
A;NR;TOTAL;AT32;2020;1.56522
A;NR;TOTAL;AT33;2009;1.38
A;NR;TOTAL;AT33;2010;1.42
A;NR;TOTAL;AT33;2011;1.40
A;NR;TOTAL;AT33;2012;1.44
A;NR;TOTAL;AT33;2013;1.44
A;NR;TOTAL;AT33;2014;1.44
A;NR;TOTAL;AT33;2015;1.52
A;NR;TOTAL;AT33;2016;1.51
A;NR;TOTAL;AT33;2017;1.52
A;NR;TOTAL;AT33;2018;1.50
A;NR;TOTAL;AT33;2019;1.46
A;NR;TOTAL;AT33;2020;1.46157
A;NR;TOTAL;AT34;2009;1.51
A;NR;TOTAL;AT34;2010;1.56
A;NR;TOTAL;AT34;2011;1.53
A;NR;TOTAL;AT34;2012;1.56
A;NR;TOTAL;AT34;2013;1.52
A;NR;TOTAL;AT34;2014;1.61
A;NR;TOTAL;AT34;2015;1.63
A;NR;TOTAL;AT34;2016;1.71
A;NR;TOTAL;AT34;2017;1.67
A;NR;TOTAL;AT34;2018;1.68
A;NR;TOTAL;AT34;2019;1.68
A;NR;TOTAL;AT34;2020;1.63238
A;NR;TOTAL;BE10;2009;2.10
A;NR;TOTAL;BE10;2010;2.04
A;NR;TOTAL;BE10;2011;NA
A;NR;TOTAL;BE10;2012;NA
A;NR;TOTAL;BE10;2013;1.89290
A;NR;TOTAL;BE10;2014;1.90289
A;NR;TOTAL;BE10;2015;1.85419
A;NR;TOTAL;BE10;2016;1.82437
A;NR;TOTAL;BE10;2017;1.80959
A;NR;TOTAL;BE10;2018;1.77021
A;NR;TOTAL;BE10;2019;1.70660
A;NR;TOTAL;BE10;2020;1.60138
A;NR;TOTAL;BE21;2009;1.91
A;NR;TOTAL;BE21;2010;1.93
A;NR;TOTAL;BE21;2011;NA
A;NR;TOTAL;BE21;2012;NA
A;NR;TOTAL;BE21;2013;1.80561
A;NR;TOTAL;BE21;2014;1.80556
A;NR;TOTAL;BE21;2015;1.73274
A;NR;TOTAL;BE21;2016;1.74168
A;NR;TOTAL;BE21;2017;1.71217
A;NR;TOTAL;BE21;2018;1.68001
A;NR;TOTAL;BE21;2019;1.66272
A;NR;TOTAL;BE21;2020;1.59261
A;NR;TOTAL;BE22;2009;1.66
A;NR;TOTAL;BE22;2010;1.70
A;NR;TOTAL;BE22;2011;NA
A;NR;TOTAL;BE22;2012;NA
A;NR;TOTAL;BE22;2013;1.61476
A;NR;TOTAL;BE22;2014;1.62524
A;NR;TOTAL;BE22;2015;1.57783
A;NR;TOTAL;BE22;2016;1.59198
A;NR;TOTAL;BE22;2017;1.53421
A;NR;TOTAL;BE22;2018;1.48415
A;NR;TOTAL;BE22;2019;1.49946
A;NR;TOTAL;BE22;2020;1.44967
A;NR;TOTAL;BE23;2009;1.80
A;NR;TOTAL;BE23;2010;1.79
A;NR;TOTAL;BE23;2011;NA
A;NR;TOTAL;BE23;2012;NA
A;NR;TOTAL;BE23;2013;1.68229
A;NR;TOTAL;BE23;2014;1.66795
A;NR;TOTAL;BE23;2015;1.64523
A;NR;TOTAL;BE23;2016;1.60568
A;NR;TOTAL;BE23;2017;1.56439
A;NR;TOTAL;BE23;2018;1.56685
A;NR;TOTAL;BE23;2019;1.50720
A;NR;TOTAL;BE23;2020;1.50482
A;NR;TOTAL;BE24;2009;1.74
A;NR;TOTAL;BE24;2010;1.78
A;NR;TOTAL;BE24;2011;NA
A;NR;TOTAL;BE24;2012;NA
A;NR;TOTAL;BE24;2013;1.74136
A;NR;TOTAL;BE24;2014;1.71251
A;NR;TOTAL;BE24;2015;1.65936
A;NR;TOTAL;BE24;2016;1.68170
A;NR;TOTAL;BE24;2017;1.63912
A;NR;TOTAL;BE24;2018;1.58921
A;NR;TOTAL;BE24;2019;1.60090
A;NR;TOTAL;BE24;2020;1.58922
A;NR;TOTAL;BE25;2009;1.77
A;NR;TOTAL;BE25;2010;1.80
A;NR;TOTAL;BE25;2011;NA
A;NR;TOTAL;BE25;2012;NA
A;NR;TOTAL;BE25;2013;1.71638
A;NR;TOTAL;BE25;2014;1.67653
A;NR;TOTAL;BE25;2015;1.65347
A;NR;TOTAL;BE25;2016;1.68595
A;NR;TOTAL;BE25;2017;1.59481
A;NR;TOTAL;BE25;2018;1.64394
A;NR;TOTAL;BE25;2019;1.58463
A;NR;TOTAL;BE25;2020;1.57537
A;NR;TOTAL;BE31;2009;1.83
A;NR;TOTAL;BE31;2010;1.82
A;NR;TOTAL;BE31;2011;NA
A;NR;TOTAL;BE31;2012;NA
A;NR;TOTAL;BE31;2013;1.72101
A;NR;TOTAL;BE31;2014;1.71041
A;NR;TOTAL;BE31;2015;1.70530
A;NR;TOTAL;BE31;2016;1.64432
A;NR;TOTAL;BE31;2017;1.63278
A;NR;TOTAL;BE31;2018;1.54230
A;NR;TOTAL;BE31;2019;1.55482
A;NR;TOTAL;BE31;2020;1.48297
A;NR;TOTAL;BE32;2009;1.83
A;NR;TOTAL;BE32;2010;1.86
A;NR;TOTAL;BE32;2011;NA
A;NR;TOTAL;BE32;2012;NA
A;NR;TOTAL;BE32;2013;1.78432
A;NR;TOTAL;BE32;2014;1.76121
A;NR;TOTAL;BE32;2015;1.70626
A;NR;TOTAL;BE32;2016;1.66469
A;NR;TOTAL;BE32;2017;1.65459
A;NR;TOTAL;BE32;2018;1.61362
A;NR;TOTAL;BE32;2019;1.62540
A;NR;TOTAL;BE32;2020;1.57775
A;NR;TOTAL;BE33;2009;1.83
A;NR;TOTAL;BE33;2010;1.87
A;NR;TOTAL;BE33;2011;NA
A;NR;TOTAL;BE33;2012;NA
A;NR;TOTAL;BE33;2013;1.73964
A;NR;TOTAL;BE33;2014;1.73827
A;NR;TOTAL;BE33;2015;1.68083
A;NR;TOTAL;BE33;2016;1.68291
A;NR;TOTAL;BE33;2017;1.65749
A;NR;TOTAL;BE33;2018;1.61472
A;NR;TOTAL;BE33;2019;1.62042
A;NR;TOTAL;BE33;2020;1.52980
A;NR;TOTAL;BE34;2009;1.75
A;NR;TOTAL;BE34;2010;1.98
A;NR;TOTAL;BE34;2011;NA
A;NR;TOTAL;BE34;2012;NA
A;NR;TOTAL;BE34;2013;1.88856
A;NR;TOTAL;BE34;2014;1.82585
A;NR;TOTAL;BE34;2015;1.79062
A;NR;TOTAL;BE34;2016;1.68842
A;NR;TOTAL;BE34;2017;1.68855
A;NR;TOTAL;BE34;2018;1.63383
A;NR;TOTAL;BE34;2019;1.76202
A;NR;TOTAL;BE34;2020;1.61097
A;NR;TOTAL;BE35;2009;1.84
A;NR;TOTAL;BE35;2010;1.88
A;NR;TOTAL;BE35;2011;NA
A;NR;TOTAL;BE35;2012;NA
A;NR;TOTAL;BE35;2013;1.76606
A;NR;TOTAL;BE35;2014;1.70203
A;NR;TOTAL;BE35;2015;1.65910
A;NR;TOTAL;BE35;2016;1.62693
A;NR;TOTAL;BE35;2017;1.55624
A;NR;TOTAL;BE35;2018;1.56720
A;NR;TOTAL;BE35;2019;1.53616
A;NR;TOTAL;BE35;2020;1.54566
A;NR;TOTAL;BG31;2009;1.86
A;NR;TOTAL;BG31;2010;1.76
A;NR;TOTAL;BG31;2011;1.73
A;NR;TOTAL;BG31;2012;1.71
A;NR;TOTAL;BG31;2013;1.62
A;NR;TOTAL;BG31;2014;1.73
A;NR;TOTAL;BG31;2015;1.71
A;NR;TOTAL;BG31;2016;1.73
A;NR;TOTAL;BG31;2017;1.73
A;NR;TOTAL;BG31;2018;1.76
A;NR;TOTAL;BG31;2019;1.77
A;NR;TOTAL;BG31;2020;1.76099
A;NR;TOTAL;BG32;2009;1.59
A;NR;TOTAL;BG32;2010;1.51
A;NR;TOTAL;BG32;2011;1.42
A;NR;TOTAL;BG32;2012;1.45
A;NR;TOTAL;BG32;2013;1.43
A;NR;TOTAL;BG32;2014;1.44
A;NR;TOTAL;BG32;2015;1.42
A;NR;TOTAL;BG32;2016;1.45
A;NR;TOTAL;BG32;2017;1.45
A;NR;TOTAL;BG32;2018;1.45
A;NR;TOTAL;BG32;2019;1.43
A;NR;TOTAL;BG32;2020;1.37711
A;NR;TOTAL;BG33;2009;1.73
A;NR;TOTAL;BG33;2010;1.61
A;NR;TOTAL;BG33;2011;1.55
A;NR;TOTAL;BG33;2012;1.52
A;NR;TOTAL;BG33;2013;1.49
A;NR;TOTAL;BG33;2014;1.51
A;NR;TOTAL;BG33;2015;1.47
A;NR;TOTAL;BG33;2016;1.51
A;NR;TOTAL;BG33;2017;1.48
A;NR;TOTAL;BG33;2018;1.49
A;NR;TOTAL;BG33;2019;1.52
A;NR;TOTAL;BG33;2020;1.45568
A;NR;TOTAL;BG34;2009;1.95
A;NR;TOTAL;BG34;2010;1.81
A;NR;TOTAL;BG34;2011;1.77
A;NR;TOTAL;BG34;2012;1.75
A;NR;TOTAL;BG34;2013;1.78
A;NR;TOTAL;BG34;2014;1.83
A;NR;TOTAL;BG34;2015;1.84
A;NR;TOTAL;BG34;2016;1.82
A;NR;TOTAL;BG34;2017;1.88
A;NR;TOTAL;BG34;2018;1.85
A;NR;TOTAL;BG34;2019;1.87
A;NR;TOTAL;BG34;2020;1.82569
A;NR;TOTAL;BG41;2009;1.47
A;NR;TOTAL;BG41;2010;1.41
A;NR;TOTAL;BG41;2011;1.34
A;NR;TOTAL;BG41;2012;1.32
A;NR;TOTAL;BG41;2013;1.29
A;NR;TOTAL;BG41;2014;1.36
A;NR;TOTAL;BG41;2015;1.34
A;NR;TOTAL;BG41;2016;1.36
A;NR;TOTAL;BG41;2017;1.37
A;NR;TOTAL;BG41;2018;1.37
A;NR;TOTAL;BG41;2019;1.42
A;NR;TOTAL;BG41;2020;1.44008
A;NR;TOTAL;BG42;2009;1.69
A;NR;TOTAL;BG42;2010;1.62
A;NR;TOTAL;BG42;2011;1.54
A;NR;TOTAL;BG42;2012;1.54
A;NR;TOTAL;BG42;2013;1.55
A;NR;TOTAL;BG42;2014;1.59
A;NR;TOTAL;BG42;2015;1.63
A;NR;TOTAL;BG42;2016;1.61
A;NR;TOTAL;BG42;2017;1.65
A;NR;TOTAL;BG42;2018;1.65
A;NR;TOTAL;BG42;2019;1.66
A;NR;TOTAL;BG42;2020;1.58903
A;NR;TOTAL;CH01;2009;1.53
A;NR;TOTAL;CH01;2010;1.56
A;NR;TOTAL;CH01;2011;1.53
A;NR;TOTAL;CH01;2012;1.54
A;NR;TOTAL;CH01;2013;1.55
A;NR;TOTAL;CH01;2014;1.55
A;NR;TOTAL;CH01;2015;1.53
A;NR;TOTAL;CH01;2016;1.54
A;NR;TOTAL;CH01;2017;1.52
A;NR;TOTAL;CH01;2018;1.51
A;NR;TOTAL;CH01;2019;1.47
A;NR;TOTAL;CH01;2020;1.44445
A;NR;TOTAL;CH02;2009;1.53
A;NR;TOTAL;CH02;2010;1.54
A;NR;TOTAL;CH02;2011;1.54
A;NR;TOTAL;CH02;2012;1.55
A;NR;TOTAL;CH02;2013;1.52
A;NR;TOTAL;CH02;2014;1.54
A;NR;TOTAL;CH02;2015;1.55
A;NR;TOTAL;CH02;2016;1.56
A;NR;TOTAL;CH02;2017;1.53
A;NR;TOTAL;CH02;2018;1.53
A;NR;TOTAL;CH02;2019;1.50
A;NR;TOTAL;CH02;2020;1.48661
A;NR;TOTAL;CH03;2009;1.43
A;NR;TOTAL;CH03;2010;1.51
A;NR;TOTAL;CH03;2011;1.48
A;NR;TOTAL;CH03;2012;1.51
A;NR;TOTAL;CH03;2013;1.47
A;NR;TOTAL;CH03;2014;1.52
A;NR;TOTAL;CH03;2015;1.50
A;NR;TOTAL;CH03;2016;1.53
A;NR;TOTAL;CH03;2017;1.52
A;NR;TOTAL;CH03;2018;1.51
A;NR;TOTAL;CH03;2019;1.50
A;NR;TOTAL;CH03;2020;1.47020
A;NR;TOTAL;CH04;2009;1.51
A;NR;TOTAL;CH04;2010;1.51
A;NR;TOTAL;CH04;2011;1.50
A;NR;TOTAL;CH04;2012;1.50
A;NR;TOTAL;CH04;2013;1.50
A;NR;TOTAL;CH04;2014;1.55
A;NR;TOTAL;CH04;2015;1.53
A;NR;TOTAL;CH04;2016;1.52
A;NR;TOTAL;CH04;2017;1.50
A;NR;TOTAL;CH04;2018;1.47
A;NR;TOTAL;CH04;2019;1.42
A;NR;TOTAL;CH04;2020;1.41517
A;NR;TOTAL;CH05;2009;1.46
A;NR;TOTAL;CH05;2010;1.49
A;NR;TOTAL;CH05;2011;1.54
A;NR;TOTAL;CH05;2012;1.53
A;NR;TOTAL;CH05;2013;1.55
A;NR;TOTAL;CH05;2014;1.55
A;NR;TOTAL;CH05;2015;1.59
A;NR;TOTAL;CH05;2016;1.61
A;NR;TOTAL;CH05;2017;1.54
A;NR;TOTAL;CH05;2018;1.59
A;NR;TOTAL;CH05;2019;1.53
A;NR;TOTAL;CH05;2020;1.53058
A;NR;TOTAL;CH06;2009;1.52
A;NR;TOTAL;CH06;2010;1.54
A;NR;TOTAL;CH06;2011;1.55
A;NR;TOTAL;CH06;2012;1.59
A;NR;TOTAL;CH06;2013;1.55
A;NR;TOTAL;CH06;2014;1.56
A;NR;TOTAL;CH06;2015;1.57
A;NR;TOTAL;CH06;2016;1.57
A;NR;TOTAL;CH06;2017;1.56
A;NR;TOTAL;CH06;2018;1.59
A;NR;TOTAL;CH06;2019;1.54
A;NR;TOTAL;CH06;2020;1.52560
A;NR;TOTAL;CH07;2009;1.35
A;NR;TOTAL;CH07;2010;1.40
A;NR;TOTAL;CH07;2011;1.43
A;NR;TOTAL;CH07;2012;1.38
A;NR;TOTAL;CH07;2013;1.38
A;NR;TOTAL;CH07;2014;1.41
A;NR;TOTAL;CH07;2015;1.44
A;NR;TOTAL;CH07;2016;1.37
A;NR;TOTAL;CH07;2017;1.37
A;NR;TOTAL;CH07;2018;1.28
A;NR;TOTAL;CH07;2019;1.26
A;NR;TOTAL;CH07;2020;1.28222
A;NR;TOTAL;CY00;2009;1.47
A;NR;TOTAL;CY00;2010;1.44
A;NR;TOTAL;CY00;2011;1.35
A;NR;TOTAL;CY00;2012;1.39
A;NR;TOTAL;CY00;2013;1.30
A;NR;TOTAL;CY00;2014;1.31
A;NR;TOTAL;CY00;2015;1.32
A;NR;TOTAL;CY00;2016;1.37
A;NR;TOTAL;CY00;2017;1.32
A;NR;TOTAL;CY00;2018;1.32
A;NR;TOTAL;CY00;2019;1.33
A;NR;TOTAL;CY00;2020;1.36229
A;NR;TOTAL;CZ01;2009;1.41
A;NR;TOTAL;CZ01;2010;1.43
A;NR;TOTAL;CZ01;2011;1.35
A;NR;TOTAL;CZ01;2012;1.38
A;NR;TOTAL;CZ01;2013;1.36
A;NR;TOTAL;CZ01;2014;1.45
A;NR;TOTAL;CZ01;2015;1.47
A;NR;TOTAL;CZ01;2016;1.49
A;NR;TOTAL;CZ01;2017;1.55
A;NR;TOTAL;CZ01;2018;1.56
A;NR;TOTAL;CZ01;2019;1.52
A;NR;TOTAL;CZ01;2020;1.50645
A;NR;TOTAL;CZ02;2009;1.58
A;NR;TOTAL;CZ02;2010;1.58
A;NR;TOTAL;CZ02;2011;1.53
A;NR;TOTAL;CZ02;2012;1.54
A;NR;TOTAL;CZ02;2013;1.54
A;NR;TOTAL;CZ02;2014;1.61
A;NR;TOTAL;CZ02;2015;1.64
A;NR;TOTAL;CZ02;2016;1.69
A;NR;TOTAL;CZ02;2017;1.79
A;NR;TOTAL;CZ02;2018;1.74
A;NR;TOTAL;CZ02;2019;1.76
A;NR;TOTAL;CZ02;2020;1.74668
A;NR;TOTAL;CZ03;2009;1.51
A;NR;TOTAL;CZ03;2010;1.50
A;NR;TOTAL;CZ03;2011;1.39
A;NR;TOTAL;CZ03;2012;1.48
A;NR;TOTAL;CZ03;2013;1.44
A;NR;TOTAL;CZ03;2014;1.50
A;NR;TOTAL;CZ03;2015;1.58
A;NR;TOTAL;CZ03;2016;1.64
A;NR;TOTAL;CZ03;2017;1.70
A;NR;TOTAL;CZ03;2018;1.72
A;NR;TOTAL;CZ03;2019;1.72
A;NR;TOTAL;CZ03;2020;1.71899
A;NR;TOTAL;CZ04;2009;1.59
A;NR;TOTAL;CZ04;2010;1.57
A;NR;TOTAL;CZ04;2011;1.49
A;NR;TOTAL;CZ04;2012;1.44
A;NR;TOTAL;CZ04;2013;1.46
A;NR;TOTAL;CZ04;2014;1.52
A;NR;TOTAL;CZ04;2015;1.56
A;NR;TOTAL;CZ04;2016;1.62
A;NR;TOTAL;CZ04;2017;1.67
A;NR;TOTAL;CZ04;2018;1.66
A;NR;TOTAL;CZ04;2019;1.71
A;NR;TOTAL;CZ04;2020;1.69196
A;NR;TOTAL;CZ05;2009;1.55
A;NR;TOTAL;CZ05;2010;1.55
A;NR;TOTAL;CZ05;2011;1.45
A;NR;TOTAL;CZ05;2012;1.49
A;NR;TOTAL;CZ05;2013;1.48
A;NR;TOTAL;CZ05;2014;1.55
A;NR;TOTAL;CZ05;2015;1.60
A;NR;TOTAL;CZ05;2016;1.69
A;NR;TOTAL;CZ05;2017;1.70
A;NR;TOTAL;CZ05;2018;1.74
A;NR;TOTAL;CZ05;2019;1.76
A;NR;TOTAL;CZ05;2020;1.76232
A;NR;TOTAL;CZ06;2009;1.48
A;NR;TOTAL;CZ06;2010;1.49
A;NR;TOTAL;CZ06;2011;1.43
A;NR;TOTAL;CZ06;2012;1.46
A;NR;TOTAL;CZ06;2013;1.47
A;NR;TOTAL;CZ06;2014;1.57
A;NR;TOTAL;CZ06;2015;1.59
A;NR;TOTAL;CZ06;2016;1.66
A;NR;TOTAL;CZ06;2017;1.73
A;NR;TOTAL;CZ06;2018;1.76
A;NR;TOTAL;CZ06;2019;1.77
A;NR;TOTAL;CZ06;2020;1.75055
A;NR;TOTAL;CZ07;2009;1.45
A;NR;TOTAL;CZ07;2010;1.46
A;NR;TOTAL;CZ07;2011;1.36
A;NR;TOTAL;CZ07;2012;1.38
A;NR;TOTAL;CZ07;2013;1.42
A;NR;TOTAL;CZ07;2014;1.47
A;NR;TOTAL;CZ07;2015;1.55
A;NR;TOTAL;CZ07;2016;1.61
A;NR;TOTAL;CZ07;2017;1.67
A;NR;TOTAL;CZ07;2018;1.71
A;NR;TOTAL;CZ07;2019;1.67
A;NR;TOTAL;CZ07;2020;1.75040
A;NR;TOTAL;CZ08;2009;1.49
A;NR;TOTAL;CZ08;2010;1.50
A;NR;TOTAL;CZ08;2011;1.38
A;NR;TOTAL;CZ08;2012;1.41
A;NR;TOTAL;CZ08;2013;1.41
A;NR;TOTAL;CZ08;2014;1.49
A;NR;TOTAL;CZ08;2015;1.50
A;NR;TOTAL;CZ08;2016;1.56
A;NR;TOTAL;CZ08;2017;1.60
A;NR;TOTAL;CZ08;2018;1.68
A;NR;TOTAL;CZ08;2019;1.66
A;NR;TOTAL;CZ08;2020;1.67293
A;NR;TOTAL;DE11;2009;1.36
A;NR;TOTAL;DE11;2010;1.40
A;NR;TOTAL;DE11;2011;1.37
A;NR;TOTAL;DE11;2012;1.40
A;NR;TOTAL;DE11;2013;1.41
A;NR;TOTAL;DE11;2014;1.47
A;NR;TOTAL;DE11;2015;1.53
A;NR;TOTAL;DE11;2016;1.60
A;NR;TOTAL;DE11;2017;1.58
A;NR;TOTAL;DE11;2018;1.58
A;NR;TOTAL;DE11;2019;1.58
A;NR;TOTAL;DE11;2020;1.56554
A;NR;TOTAL;DE12;2009;1.31
A;NR;TOTAL;DE12;2010;1.33
A;NR;TOTAL;DE12;2011;1.31
A;NR;TOTAL;DE12;2012;1.35
A;NR;TOTAL;DE12;2013;1.36
A;NR;TOTAL;DE12;2014;1.42
A;NR;TOTAL;DE12;2015;1.46
A;NR;TOTAL;DE12;2016;1.54
A;NR;TOTAL;DE12;2017;1.51
A;NR;TOTAL;DE12;2018;1.52
A;NR;TOTAL;DE12;2019;1.51
A;NR;TOTAL;DE12;2020;1.48160
A;NR;TOTAL;DE13;2009;1.38
A;NR;TOTAL;DE13;2010;1.39
A;NR;TOTAL;DE13;2011;1.36
A;NR;TOTAL;DE13;2012;1.42
A;NR;TOTAL;DE13;2013;1.41
A;NR;TOTAL;DE13;2014;1.47
A;NR;TOTAL;DE13;2015;1.51
A;NR;TOTAL;DE13;2016;1.62
A;NR;TOTAL;DE13;2017;1.58
A;NR;TOTAL;DE13;2018;1.61
A;NR;TOTAL;DE13;2019;1.60
A;NR;TOTAL;DE13;2020;1.56867
A;NR;TOTAL;DE14;2009;1.39
A;NR;TOTAL;DE14;2010;1.41
A;NR;TOTAL;DE14;2011;1.39
A;NR;TOTAL;DE14;2012;1.43
A;NR;TOTAL;DE14;2013;1.43
A;NR;TOTAL;DE14;2014;1.50
A;NR;TOTAL;DE14;2015;1.53
A;NR;TOTAL;DE14;2016;1.62
A;NR;TOTAL;DE14;2017;1.63
A;NR;TOTAL;DE14;2018;1.62
A;NR;TOTAL;DE14;2019;1.61
A;NR;TOTAL;DE14;2020;1.60463
A;NR;TOTAL;DE21;2009;1.36
A;NR;TOTAL;DE21;2010;1.38
A;NR;TOTAL;DE21;2011;1.36
A;NR;TOTAL;DE21;2012;1.42
A;NR;TOTAL;DE21;2013;1.42
A;NR;TOTAL;DE21;2014;1.47
A;NR;TOTAL;DE21;2015;1.49
A;NR;TOTAL;DE21;2016;1.55
A;NR;TOTAL;DE21;2017;1.54
A;NR;TOTAL;DE21;2018;1.55
A;NR;TOTAL;DE21;2019;1.52
A;NR;TOTAL;DE21;2020;1.51033
A;NR;TOTAL;DE22;2009;1.34
A;NR;TOTAL;DE22;2010;1.37
A;NR;TOTAL;DE22;2011;1.34
A;NR;TOTAL;DE22;2012;1.40
A;NR;TOTAL;DE22;2013;1.39
A;NR;TOTAL;DE22;2014;1.44
A;NR;TOTAL;DE22;2015;1.49
A;NR;TOTAL;DE22;2016;1.55
A;NR;TOTAL;DE22;2017;1.55
A;NR;TOTAL;DE22;2018;1.53
A;NR;TOTAL;DE22;2019;1.56
A;NR;TOTAL;DE22;2020;1.58664
A;NR;TOTAL;DE23;2009;1.31
A;NR;TOTAL;DE23;2010;1.34
A;NR;TOTAL;DE23;2011;1.28
A;NR;TOTAL;DE23;2012;1.35
A;NR;TOTAL;DE23;2013;1.35
A;NR;TOTAL;DE23;2014;1.41
A;NR;TOTAL;DE23;2015;1.46
A;NR;TOTAL;DE23;2016;1.49
A;NR;TOTAL;DE23;2017;1.50
A;NR;TOTAL;DE23;2018;1.56
A;NR;TOTAL;DE23;2019;1.59
A;NR;TOTAL;DE23;2020;1.58198
A;NR;TOTAL;DE24;2009;1.28
A;NR;TOTAL;DE24;2010;1.32
A;NR;TOTAL;DE24;2011;1.30
