frequency;unit;age;geo;year;value
A;NR;TOTAL;AL01;2009;NA
A;NR;TOTAL;AL01;2010;NA
A;NR;TOTAL;AL01;2011;NA
A;NR;TOTAL;AL01;2012;NA
A;NR;TOTAL;AL01;2013;NA
A;NR;TOTAL;AL01;2014;NA
A;NR;TOTAL;AL01;2015;NA
A;NR;TOTAL;AL01;2016;NA
A;NR;TOTAL;AL01;2017;NA
A;NR;TOTAL;AL01;2018;NA
A;NR;TOTAL;AL01;2019;1.59
A;NR;TOTAL;AL01;2020;1.54984
A;NR;TOTAL;AL02;2009;NA
A;NR;TOTAL;AL02;2010;NA
A;NR;TOTAL;AL02;2011;NA
A;NR;TOTAL;AL02;2012;NA
A;NR;TOTAL;AL02;2013;NA
A;NR;TOTAL;AL02;2014;NA
A;NR;TOTAL;AL02;2015;NA
A;NR;TOTAL;AL02;2016;NA
A;NR;TOTAL;AL02;2017;NA
A;NR;TOTAL;AL02;2018;NA
A;NR;TOTAL;AL02;2019;1.28
A;NR;TOTAL;AL02;2020;1.26645
A;NR;TOTAL;AL03;2009;NA
A;NR;TOTAL;AL03;2010;NA
A;NR;TOTAL;AL03;2011;NA
A;NR;TOTAL;AL03;2012;NA
A;NR;TOTAL;AL03;2013;NA
A;NR;TOTAL;AL03;2014;NA
A;NR;TOTAL;AL03;2015;NA
A;NR;TOTAL;AL03;2016;NA
A;NR;TOTAL;AL03;2017;NA
A;NR;TOTAL;AL03;2018;NA
A;NR;TOTAL;AL03;2019;1.23
A;NR;TOTAL;AL03;2020;1.20679
A;NR;TOTAL;AT11;2009;1.27
A;NR;TOTAL;AT11;2010;1.28
A;NR;TOTAL;AT11;2011;1.28
A;NR;TOTAL;AT11;2012;1.30
A;NR;TOTAL;AT11;2013;1.27
A;NR;TOTAL;AT11;2014;1.33
A;NR;TOTAL;AT11;2015;1.37
A;NR;TOTAL;AT11;2016;1.41
A;NR;TOTAL;AT11;2017;1.36
A;NR;TOTAL;AT11;2018;1.38
A;NR;TOTAL;AT11;2019;1.39
A;NR;TOTAL;AT11;2020;1.31650
A;NR;TOTAL;AT12;2009;1.42
A;NR;TOTAL;AT12;2010;1.47
A;NR;TOTAL;AT12;2011;1.48
A;NR;TOTAL;AT12;2012;1.49
A;NR;TOTAL;AT12;2013;1.48
A;NR;TOTAL;AT12;2014;1.51
A;NR;TOTAL;AT12;2015;1.52
